Número da OS;Mina;Complexo Mineiro;Estrutura;Local de Instalação;Código do Instrumento;Tipo de Instrumento;Subtipo de Instrumento;Origem da Medição;Tipo de Coleta;Tipo de Medição;Situação da Medição;Justificativa de não Medição;Condição Adversa;Observação;Sensor;Data de Medição;Hora da Medição;Outlier;Grandeza física;Valor;Unidade de Medida;Leitura;Unidade de Medida (X)
314688;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;01/07/2021;10:07;;Vazão;1,4325;LPS;5,157;MCH
316370;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;07/07/2021;09:52;;Vazão;1,28694;LPS;4,633;MCH
317550;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;12/07/2021;13:09;;Vazão;1,335;LPS;4,806;MCH
318934;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;21/07/2021;10:14;;Vazão;1,29694;LPS;4,669;MCH
320234;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;28/07/2021;10:49;;Vazão;1,37722;LPS;4,958;MCH
321945;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Não Realizada;Sem acesso;;;;04/08/2021;08:56;;;;;;
323116;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;11/08/2021;08:57;;;;;;
324439;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;16/08/2021;10:22;;Vazão;1,16944;LPS;4,21;MCH
325706;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;25/08/2021;09:27;;Vazão;1,31556;LPS;4,736;MCH
326962;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;02/09/2021;10:32;;Vazão;1,21194;LPS;4,363;MCH
328583;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;10/09/2021;10:13;;Vazão;1,25444;LPS;4,516;MCH
329737;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;16/09/2021;09:50;;Vazão;1,16;LPS;4,176;MCH
331129;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-42/18;20/09/2021;09:41;;Vazão;1,19889;LPS;4,316;MCH
332470;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;27/09/2021;10:59;;Vazão;1,30694;LPS;4,705;MCH
335366;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Feriado;;;;12/10/2021;09:24;;;;;;
338189;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;26/10/2021;14:17;;Vazão;1,09576;LPS;3,94473;MCH
340264;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-42/18;05/11/2021;09:49;;Vazão;1,19333;LPS;4,296;MCH
341713;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-42/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;mina fechada;;12/11/2021;09:20;;;;;;
172551;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;13/12/2018;12:25;;Vazão;0,075;LPS;0,27;MCH
173845;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-43/18;08/01/2019;14:52;;Vazão;0,08333;LPS;0,3;MCH
175926;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Histórico;;Não realizado devido ao apoio nas Barragem do Pico.;;27/02/2019;15:25;;;;;;
177692;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;21/03/2019;12:08;;Vazão;0,91389;LPS;3,29;MCH
179733;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Histórico;;;;09/04/2019;10:32;;;;;;
179994;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;Acesso deficiente.;;16/04/2019;11:19;;;;;;
182167;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;23/04/2019;11:54;;Vazão;0,10278;LPS;0,37;MCH
182859;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;02/05/2019;10:52;;Vazão;0,09722;LPS;0,35;MCH
183821;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Histórico;;Devido a automatização dos furos dos instrumentos do TAM.;;10/05/2019;10:02;;;;;;
184468;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;16/05/2019;10:32;;Vazão;0,09167;LPS;0,33;MCH
185910;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Manual;;Realizada;;;;CMT_DHP-43/18;23/05/2019;11:27;;Vazão;0,09444;LPS;0,34;MCH
186104;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;29/05/2019;10:08;;Vazão;0,09167;LPS;0,33;MCH
187248;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;06/06/2019;10:17;;Vazão;0,06389;LPS;0,23;MCH
187998;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-43/18;12/06/2019;09:57;;Vazão;0,08333;LPS;0,3;MCH
188849;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;19/06/2019;10:29;;Vazão;0,08611;LPS;0,31;MCH
189642;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;25/06/2019;10:19;;Vazão;0,08333;LPS;0,3;MCH
190727;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;04/07/2019;09:46;;Vazão;0,07778;LPS;0,28;MCH
191670;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;12/07/2019;09:27;;Vazão;0,08056;LPS;0,29;MCH
192571;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;17/07/2019;09:46;;Vazão;0,075;LPS;0,27;MCH
193444;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Histórico;;N.R treinamento de VPS.;;24/07/2019;10:23;;;;;;
194378;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;31/07/2019;09:45;;Vazão;0,07222;LPS;0,26;MCH
195627;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;07/08/2019;10:55;;Vazão;0,075;LPS;0,27;MCH
196500;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;13/08/2019;09:41;;Vazão;0,075;LPS;0,27;MCH
197649;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;21/08/2019;10:09;;Vazão;0,07778;LPS;0,28;MCH
198455;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;CMT_DHP-43/18;28/08/2019;11:20;;Vazão;0,07778;LPS;0,28;MCH
199756;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;CAVA;CMT_DHP-43/18;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;;CMT_DHP-43/18;03/09/2019;10:20;;Vazão;0,07222;LPS;0,26;MCH
