Número da OS;Mina;Complexo Mineiro;Estrutura;Local de Instalação;Código do Instrumento;Tipo de Instrumento;Subtipo de Instrumento;Origem da Medição;Tipo de Coleta;Tipo de Medição;Situação da Medição;Justificativa de não Medição;Condição Adversa;Observação;Sensor;Data de Medição;Hora da Medição;Outlier;Grandeza física;Valor;Unidade de Medida;Coordenada Norte (Y);Unidade de Medida (X);Coordenada Leste (X);Unidade de Medida (Z);Cota (Z);Unidade de Medida (AB)
79643;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;25/02/2014;00:00;;Vetor Deslocamento;0,07463;m;7.775.776,421;m;612.783,798;m;1.445,853;m
79971;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;19/03/2014;00:00;;Vetor Deslocamento;0,07577;m;7.775.776,42;m;612.783,799;m;1.445,852;m
80646;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;01/04/2014;00:00;;Vetor Deslocamento;0,07479;m;7.775.776,42;m;612.783,799;m;1.445,853;m
81028;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;16/04/2014;00:00;;Vetor Deslocamento;0,07033;m;7.775.776,421;m;612.783,796;m;1.445,857;m
81819;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;06/05/2014;00:00;;Vetor Deslocamento;0,07574;m;7.775.776,423;m;612.783,798;m;1.445,852;m
82475;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;13/05/2014;00:00;;Vetor Deslocamento;0,07441;m;7.775.776,425;m;612.783,8;m;1.445,854;m
83452;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;03/06/2014;00:00;;Vetor Deslocamento;0,07393;m;7.775.776,422;m;612.783,799;m;1.445,854;m
83724;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;18/06/2014;00:00;;Vetor Deslocamento;0,06901;m;7.775.776,424;m;612.783,798;m;1.445,859;m
84538;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;15/07/2014;00:00;;Vetor Deslocamento;0,07031;m;7.775.776,425;m;612.783,799;m;1.445,858;m
85060;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;29/07/2014;00:00;;Vetor Deslocamento;0,06935;m;7.775.776,425;m;612.783,799;m;1.445,859;m
85909;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;01/08/2014;00:00;;Vetor Deslocamento;0,06986;m;7.775.776,418;m;612.783,799;m;1.445,858;m
85515;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;06/08/2014;00:00;;Vetor Deslocamento;0,06888;m;7.775.776,425;m;612.783,801;m;1.445,86;m
86687;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;01/09/2014;00:00;;Vetor Deslocamento;0,07183;m;7.775.776,419;m;612.783,799;m;1.445,856;m
87216;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;05/09/2014;00:00;;Vetor Deslocamento;0,07287;m;7.775.776,424;m;612.783,802;m;1.445,856;m
88028;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;18/09/2014;00:00;;Vetor Deslocamento;0,07307;m;7.775.776,42;m;612.783,8;m;1.445,855;m
88780;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;30/09/2014;00:00;;Vetor Deslocamento;0,07181;m;7.775.776,418;m;612.783,799;m;1.445,856;m
89118;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;14/10/2014;00:00;;Vetor Deslocamento;0,07376;m;7.775.776,418;m;612.783,799;m;1.445,854;m
90335;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;06/11/2014;00:00;;Vetor Deslocamento;0,06818;m;7.775.776,419;m;612.783,8;m;1.445,86;m
90783;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;20/11/2014;00:00;;Vetor Deslocamento;0,07168;m;7.775.776,421;m;612.783,802;m;1.445,857;m
91115;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;05/12/2014;00:00;;Vetor Deslocamento;0,06745;m;7.775.776,417;m;612.783,801;m;1.445,861;m
91848;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;M;Padrão;16/12/2014;00:00;;Vetor Deslocamento;0,07641;m;7.775.776,418;m;612.783,802;m;1.445,852;m
93089;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;M;Padrão;07/01/2015;00:00;;Vetor Deslocamento;0,07713;m;7.775.776,417;m;612.783,801;m;1.445,851;m
93629;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;M;Padrão;19/01/2015;00:00;;Vetor Deslocamento;0,07669;m;7.775.776,418;m;612.783,799;m;1.445,851;m
92246;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;02/02/2015;00:00;;Vetor Deslocamento;0,07376;m;7.775.776,417;m;612.783,799;m;1.445,854;m
94982;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;23/02/2015;00:00;;Vetor Deslocamento;0,07399;m;7.775.776,418;m;612.783,795;m;1.445,853;m
93407;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;12/03/2015;00:00;;Vetor Deslocamento;0,07004;m;7.775.776,417;m;612.783,795;m;1.445,857;m
95704;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;27/03/2015;00:00;;Vetor Deslocamento;0,06760;m;7.775.776,417;m;612.783,792;m;1.445,859;m
96605;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;08/04/2015;00:00;;Vetor Deslocamento;0,06895;m;7.775.776,42;m;612.783,794;m;1.445,858;m
96940;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;29/04/2015;00:00;;Vetor Deslocamento;0,06973;m;7.775.776,418;m;612.783,793;m;1.445,857;m
97674;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;26/05/2015;00:00;;Vetor Deslocamento;0,06648;m;7.775.776,417;m;612.783,791;m;1.445,86;m
102342;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;21/07/2015;00:00;;Vetor Deslocamento;0,05216;m;7.775.776,413;m;612.783,784;m;1.445,874;m
99599;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;13/08/2015;00:00;;Vetor Deslocamento;0,05208;m;7.775.776,415;m;612.783,785;m;1.445,874;m
103307;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;03/09/2015;00:00;;Vetor Deslocamento;0,05020;m;7.775.776,413;m;612.783,785;m;1.445,876;m
104380;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;24/09/2015;00:00;;Vetor Deslocamento;0,05368;m;7.775.776,409;m;612.783,786;m;1.445,873;m
104796;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;08/10/2015;00:00;;Vetor Deslocamento;0,04998;m;7.775.776,408;m;612.783,787;m;1.445,877;m
105846;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;30/10/2015;00:00;;Vetor Deslocamento;0,04187;m;7.775.776,411;m;612.783,789;m;1.445,885;m
